Municipality,Date,Month,Year,DayOfTheMonth,Season,Acc_code
33004,1/01/1980,1,1980,1,2,4
33004,1/01/1980,1,1980,1,2,11
33005,1/01/1980,1,1980,1,2,1
33005,1/01/1980,1,1980,1,2,1
33005,1/01/1980,1,1980,1,2,3
33005,1/01/1980,1,1980,1,2,9
33009,1/01/1980,1,1980,1,2,5
33015,1/01/1980,1,1980,1,2,1
33015,1/01/1980,1,1980,1,2,4
33016,1/01/1980,1,1980,1,2,1
33016,1/01/1980,1,1980,1,2,2
33016,1/01/1980,1,1980,1,2,7
33017,1/01/1980,1,1980,1,2,4
33019,1/01/1980,1,1980,1,2,2
33019,1/01/1980,1,1980,1,2,2
33020,1/01/1980,1,1980,1,2,1
33020,1/01/1980,1,1980,1,2,2
33026,1/01/1980,1,1980,1,2,1
33028,1/01/1980,1,1980,1,2,2
33030,1/01/1980,1,1980,1,2,1
33030,1/01/1980,1,1980,1,2,11
33031,1/01/1980,1,1980,1,2,2
33043,1/01/1980,1,1980,1,2,1
34002,1/01/1980,1,1980,1,2,4
34008,1/01/1980,1,1980,1,2,2
34012,1/01/1980,1,1980,1,2,2
34018,1/01/1980,1,1980,1,2,2
34039,1/01/1980,1,1980,1,2,1
34039,1/01/1980,1,1980,1,2,3
34042,1/01/1980,1,1980,1,2,1
35003,1/01/1980,1,1980,1,2,11
35016,1/01/1980,1,1980,1,2,1
35045,1/01/1980,1,1980,1,2,1
36016,1/01/1980,1,1980,1,2,1
36030,1/01/1980,1,1980,1,2,2
36030,1/01/1980,1,1980,1,2,2
36043,1/01/1980,1,1980,1,2,2
36043,1/01/1980,1,1980,1,2,2
36043,1/01/1980,1,1980,1,2,10
40001,1/01/1980,1,1980,1,2,5
40001,1/01/1980,1,1980,1,2,10
40001,1/01/1980,1,1980,1,2,10
40001,1/01/1980,1,1980,1,2,10
40001,1/01/1980,1,1980,1,2,10
40005,1/01/1980,1,1980,1,2,5
40009,1/01/1980,1,1980,1,2,1
40009,1/01/1980,1,1980,1,2,5
40019,1/01/1980,1,1980,1,2,2
40019,1/01/1980,1,1980,1,2,5
40019,1/01/1980,1,1980,1,2,10
40020,1/01/1980,1,1980,1,2,2
40020,1/01/1980,1,1980,1,2,5
40020,1/01/1980,1,1980,1,2,7
40020,1/01/1980,1,1980,1,2,8
40020,1/01/1980,1,1980,1,2,8
40028,1/01/1980,1,1980,1,2,5
40032,1/01/1980,1,1980,1,2,1
40032,1/01/1980,1,1980,1,2,2
40032,1/01/1980,1,1980,1,2,2
40032,1/01/1980,1,1980,1,2,10
40036,1/01/1980,1,1980,1,2,5
40037,1/01/1980,1,1980,1,2,7
40043,1/01/1980,1,1980,1,2,5
40043,1/01/1980,1,1980,1,2,5
40044,1/01/1980,1,1980,1,2,1
40044,1/01/1980,1,1980,1,2,5
40044,1/01/1980,1,1980,1,2,9
40046,1/01/1980,1,1980,1,2,1
40046,1/01/1980,1,1980,1,2,5
40046,1/01/1980,1,1980,1,2,7
40046,1/01/1980,1,1980,1,2,8
40046,1/01/1980,1,1980,1,2,8
40046,1/01/1980,1,1980,1,2,10
40049,1/01/1980,1,1980,1,2,1
40049,1/01/1980,1,1980,1,2,5
40049,1/01/1980,1,1980,1,2,5
40049,1/01/1980,1,1980,1,2,5
40050,1/01/1980,1,1980,1,2,5
40050,1/01/1980,1,1980,1,2,5
34020,2/01/1980,1,1980,2,2,1
37041,2/01/1980,1,1980,2,2,2
37036,6/01/1980,1,1980,6,2,5
36030,17/01/1980,1,1980,17,2,5
34035,18/01/1980,1,1980,18,2,2
35025,22/01/1980,1,1980,22,2,3
35025,22/01/1980,1,1980,22,2,3
35025,22/01/1980,1,1980,22,2,4
35025,22/01/1980,1,1980,22,2,4
35025,22/01/1980,1,1980,22,2,4
35025,22/01/1980,1,1980,22,2,5
40037,23/01/1980,1,1980,23,2,3
34008,24/01/1980,1,1980,24,2,2
35019,24/01/1980,1,1980,24,2,1
35019,24/01/1980,1,1980,24,2,4
40020,25/01/1980,1,1980,25,2,4
35016,26/01/1980,1,1980,26,2,3
34019,28/01/1980,1,1980,28,2,1
40019,29/01/1980,1,1980,29,2,5
36030,31/01/1980,1,1980,31,2,2
35041,1/02/1980,2,1980,1,2,3
36042,1/02/1980,2,1980,1,2,9
40028,1/02/1980,2,1980,1,2,1
34032,2/02/1980,2,1980,2,2,1
34032,2/02/1980,2,1980,2,2,1
36030,5/02/1980,2,1980,5,2,1
36030,5/02/1980,2,1980,5,2,2
36030,5/02/1980,2,1980,5,2,4
37010,5/02/1980,2,1980,5,2,2
37015,5/02/1980,2,1980,5,2,2
34004,6/02/1980,2,1980,6,2,4
36033,6/02/1980,2,1980,6,2,1
36033,6/02/1980,2,1980,6,2,1
36018,11/02/1980,2,1980,11,2,2
36026,11/02/1980,2,1980,11,2,1
36026,11/02/1980,2,1980,11,2,2
33016,12/02/1980,2,1980,12,2,2
36016,12/02/1980,2,1980,12,2,4
34012,14/02/1980,2,1980,14,2,1
40001,20/02/1980,2,1980,20,2,5
34005,23/02/1980,2,1980,23,2,2
40036,26/02/1980,2,1980,26,2,4
34006,1/03/1980,3,1980,1,1,1
36024,1/03/1980,3,1980,1,1,1
36033,1/03/1980,3,1980,1,1,2
34006,6/03/1980,3,1980,6,1,1
34006,10/03/1980,3,1980,10,1,5
34006,10/03/1980,3,1980,10,1,5
36032,10/03/1980,3,1980,10,1,2
36032,10/03/1980,3,1980,10,1,3
36032,10/03/1980,3,1980,10,1,4
36032,10/03/1980,3,1980,10,1,4
36032,10/03/1980,3,1980,10,1,5
37036,10/03/1980,3,1980,10,1,2
36041,12/03/1980,3,1980,12,1,1
33004,13/03/1980,3,1980,13,1,2
33004,13/03/1980,3,1980,13,1,4
33005,13/03/1980,3,1980,13,1,2
33043,13/03/1980,3,1980,13,1,2
33043,13/03/1980,3,1980,13,1,2
36030,15/03/1980,3,1980,15,1,9
34019,17/03/1980,3,1980,17,1,1
34008,18/03/1980,3,1980,18,1,1
34024,18/03/1980,3,1980,18,1,2
36042,19/03/1980,3,1980,19,1,1
36042,19/03/1980,3,1980,19,1,2
34025,20/03/1980,3,1980,20,1,1
36031,20/03/1980,3,1980,20,1,5
35018,21/03/1980,3,1980,21,1,2
36026,21/03/1980,3,1980,21,1,2
36026,21/03/1980,3,1980,21,1,2
36026,21/03/1980,3,1980,21,1,2
34038,22/03/1980,3,1980,22,1,1
34038,22/03/1980,3,1980,22,1,1
37013,24/03/1980,3,1980,24,1,2
37042,25/03/1980,3,1980,25,1,1
37025,31/03/1980,3,1980,31,1,1
34026,1/04/1980,4,1980,1,1,1
34038,1/04/1980,4,1980,1,1,1
36025,1/04/1980,4,1980,1,1,2
36030,1/04/1980,4,1980,1,1,3
36033,1/04/1980,4,1980,1,1,2
36047,1/04/1980,4,1980,1,1,2
35011,2/04/1980,4,1980,2,1,3
36032,3/04/1980,4,1980,3,1,2
36033,8/04/1980,4,1980,8,1,5
34035,9/04/1980,4,1980,9,1,3
37058,10/04/1980,4,1980,10,1,3
35025,14/04/1980,4,1980,14,1,2
36018,15/04/1980,4,1980,15,1,5
33004,17/04/1980,4,1980,17,1,1
36025,24/04/1980,4,1980,24,1,5
36025,24/04/1980,4,1980,24,1,5
40009,24/04/1980,4,1980,24,1,9
37029,28/04/1980,4,1980,28,1,5
36031,1/05/1980,5,1980,1,1,1
36042,5/05/1980,5,1980,5,1,1
36042,5/05/1980,5,1980,5,1,9
34006,7/05/1980,5,1980,7,1,2
34006,8/05/1980,5,1980,8,1,5
35014,8/05/1980,5,1980,8,1,1
34035,16/05/1980,5,1980,16,1,2
37058,16/05/1980,5,1980,16,1,2
35045,20/05/1980,5,1980,20,1,4
40019,20/05/1980,5,1980,20,1,4
36026,21/05/1980,5,1980,21,1,1
35045,22/05/1980,5,1980,22,1,3
37010,23/05/1980,5,1980,23,1,1
37010,24/05/1980,5,1980,24,1,2
36018,26/05/1980,5,1980,26,1,3
40009,27/05/1980,5,1980,27,1,5
36025,30/05/1980,5,1980,30,1,5
34005,1/06/1980,6,1980,1,3,2
36017,4/06/1980,6,1980,4,3,2
36026,12/06/1980,6,1980,12,3,7
36016,15/06/1980,6,1980,15,3,5
34035,17/06/1980,6,1980,17,3,1
34035,17/06/1980,6,1980,17,3,2
35003,18/06/1980,6,1980,18,3,1
33019,24/06/1980,6,1980,24,3,1
36026,7/07/1980,7,1980,7,3,2
36026,7/07/1980,7,1980,7,3,2
36025,23/07/1980,7,1980,23,3,1
34038,28/07/1980,7,1980,28,3,1
36042,5/08/1980,8,1980,5,3,1
36042,5/08/1980,8,1980,5,3,2
